# step	G	chi2r	S	Energy_w.sum
0	1.104581e+01	1.104581e+01	0.000000e+00	1.030410e-13
4	8.883808e+00	7.586255e+00	-1.074438e-01	1.330861e+00
8	5.315694e+00	5.134499e+00	3.526524e-01	7.187264e-02
12	3.661896e+00	3.217264e+00	9.597765e-01	1.471007e-01
16	2.486921e+00	1.668645e+00	1.607652e+00	3.199041e-01
20	2.321416e+00	1.631674e+00	1.946317e+00	8.638441e-02
24	2.181055e+00	1.403228e+00	2.345613e+00	5.068692e-02
28	2.077934e+00	1.194372e+00	2.582903e+00	8.286240e-02
32	2.055333e+00	1.119834e+00	2.762263e+00	7.919731e-02
36	2.044121e+00	1.058353e+00	2.967760e+00	6.576303e-02
40	2.040912e+00	1.033099e+00	2.993946e+00	7.968969e-02
44	2.040256e+00	1.025732e+00	3.002694e+00	8.368794e-02
48	2.039669e+00	1.035131e+00	2.978641e+00	8.115933e-02
52	2.039435e+00	1.032032e+00	2.986662e+00	8.153778e-02
56	2.039300e+00	1.032672e+00	2.985922e+00	8.099257e-02
60	2.039266e+00	1.032445e+00	2.989195e+00	8.017027e-02
64	2.039240e+00	1.032174e+00	2.991277e+00	7.977006e-02
68	2.039234e+00	1.032216e+00	2.989507e+00	8.027073e-02
72	2.039226e+00	1.031604e+00	2.991835e+00	8.015395e-02
76	2.039224e+00	1.031772e+00	2.991461e+00	8.009922e-02
80	2.039223e+00	1.032037e+00	2.990340e+00	8.018049e-02
84	2.039222e+00	1.032065e+00	2.990225e+00	8.018785e-02
88	2.039222e+00	1.032054e+00	2.990210e+00	8.020254e-02
92	2.039222e+00	1.032122e+00	2.990231e+00	8.012810e-02
96	2.039221e+00	1.032070e+00	2.990255e+00	8.017220e-02
100	2.039221e+00	1.032041e+00	2.990419e+00	8.015088e-02
104	2.039221e+00	1.032056e+00	2.990434e+00	8.013104e-02
108	1.389941e+01	1.342763e+01	7.130557e-01	2.507343e-01
112	9.688236e+00	8.354408e+00	4.581874e-01	1.191789e+00
116	6.927002e+00	6.620949e+00	7.839277e-01	6.303500e-02
120	4.426957e+00	3.897600e+00	1.445966e+00	8.110721e-02
124	3.067797e+00	2.381867e+00	1.780686e+00	1.339178e-01
128	2.646390e+00	1.889785e+00	2.066247e+00	1.160692e-01
132	2.483918e+00	1.680359e+00	2.325526e+00	8.264628e-02
136	2.262869e+00	1.369004e+00	2.563278e+00	9.924909e-02
140	2.197445e+00	1.273381e+00	2.747772e+00	7.225394e-02
144	2.123034e+00	1.127092e+00	2.965024e+00	7.678482e-02
148	2.083712e+00	1.097649e+00	2.948179e+00	7.212733e-02
152	2.061980e+00	1.046501e+00	2.991138e+00	8.822638e-02
156	2.055965e+00	1.044674e+00	3.048932e+00	6.612218e-02
160	2.047646e+00	1.029753e+00	3.045023e+00	7.393624e-02
164	2.044513e+00	1.014636e+00	3.048261e+00	8.491546e-02
168	2.041607e+00	1.034402e+00	2.991595e+00	7.981126e-02
172	2.040482e+00	1.029815e+00	3.018839e+00	7.482681e-02
176	2.039818e+00	1.028296e+00	3.006347e+00	7.955400e-02
180	2.039499e+00	1.030884e+00	2.996275e+00	7.977014e-02
184	2.039301e+00	1.032869e+00	2.989710e+00	7.962159e-02
188	2.039282e+00	1.032929e+00	2.987415e+00	8.025415e-02
192	2.039260e+00	1.033145e+00	2.986171e+00	8.040221e-02
196	2.039246e+00	1.033095e+00	2.986574e+00	8.031333e-02
200	2.039229e+00	1.031492e+00	2.993585e+00	7.972494e-02
204	2.039225e+00	1.031638e+00	2.991632e+00	8.018169e-02
208	2.039223e+00	1.031921e+00	2.990889e+00	8.012699e-02
212	2.039222e+00	1.032012e+00	2.990219e+00	8.024214e-02
216	2.039222e+00	1.032033e+00	2.990344e+00	8.018220e-02
220	2.039222e+00	1.032123e+00	2.990010e+00	8.019589e-02
224	2.039222e+00	1.032149e+00	2.990025e+00	8.016451e-02
228	9.714977e+00	8.256924e+00	4.359693e-01	1.322902e+00
232	8.683494e+00	7.673199e+00	4.692755e-01	8.648197e-01
236	5.371640e+00	3.540669e+00	7.936230e-01	1.584948e+00
240	4.212050e+00	3.527396e+00	1.353401e+00	2.650998e-01
244	2.729745e+00	1.913407e+00	1.925881e+00	2.193147e-01
248	2.517568e+00	1.734801e+00	2.523551e+00	4.666387e-04
252	2.254723e+00	1.346795e+00	2.556225e+00	1.154977e-01
256	2.129107e+00	1.156058e+00	2.819321e+00	9.905987e-02
260	2.092396e+00	1.095405e+00	2.972392e+00	7.554949e-02
264	2.065071e+00	1.038111e+00	3.059191e+00	7.861083e-02
268	2.054822e+00	1.028800e+00	3.124313e+00	5.748428e-02
272	2.047593e+00	1.032969e+00	3.014346e+00	8.017603e-02
276	2.044102e+00	1.028524e+00	3.014907e+00	8.095682e-02
280	2.041293e+00	1.026292e+00	3.022487e+00	7.803012e-02
284	2.040596e+00	1.023980e+00	3.021652e+00	7.990388e-02
288	2.040016e+00	1.028227e+00	3.008492e+00	7.915660e-02
292	2.039592e+00	1.033794e+00	2.988658e+00	7.931385e-02
296	2.039346e+00	1.032718e+00	2.982431e+00	8.207394e-02
300	2.039294e+00	1.033658e+00	2.984146e+00	8.055001e-02
