Rda	p(Rda)
0.50	3.42636e-06
1.50	2.44038e-05
2.50	6.84469e-05
3.50	1.39693e-04
4.50	2.44241e-04
5.50	3.89994e-04
6.50	5.86424e-04
7.50	8.44207e-04
8.50	1.17475e-03
9.50	1.58958e-03
10.50	2.09957e-03
11.50	2.71412e-03
12.50	3.44029e-03
13.50	4.28185e-03
14.50	5.23854e-03
15.50	6.30550e-03
16.50	7.47288e-03
17.50	8.72593e-03
18.50	1.00454e-02
19.50	1.14082e-02
20.50	1.27889e-02
21.50	1.41610e-02
22.50	1.54986e-02
23.50	1.67779e-02
24.50	1.79793e-02
25.50	1.90883e-02
26.50	2.00963e-02
27.50	2.10012e-02
28.50	2.18071e-02
29.50	2.25233e-02
30.50	2.31636e-02
31.50	2.37437e-02
32.50	2.42803e-02
33.50	2.47885e-02
34.50	2.52804e-02
35.50	2.57633e-02
36.50	2.62389e-02
37.50	2.67031e-02
38.50	2.71453e-02
39.50	2.75499e-02
40.50	2.78967e-02
41.50	2.81629e-02
42.50	2.83245e-02
43.50	2.83582e-02
44.50	2.82432e-02
45.50	2.79625e-02
46.50	2.75046e-02
47.50	2.68638e-02
48.50	2.60410e-02
49.50	2.50439e-02
50.50	2.38859e-02
51.50	2.25864e-02
52.50	2.11689e-02
53.50	1.96604e-02
54.50	1.80899e-02
55.50	1.64872e-02
56.50	1.48814e-02
57.50	1.33001e-02
58.50	1.17682e-02
59.50	1.03072e-02
60.50	8.93463e-03
61.50	7.66403e-03
62.50	6.50454e-03
63.50	5.46124e-03
64.50	4.53545e-03
65.50	3.72513e-03
66.50	3.02548e-03
67.50	2.42953e-03
68.50	1.92871e-03
69.50	1.51347e-03
70.50	1.17378e-03
71.50	8.99621e-04
72.50	6.81299e-04
73.50	5.09773e-04
74.50	3.76816e-04
75.50	2.75141e-04
76.50	1.98432e-04
77.50	1.41338e-04
78.50	9.94179e-05
79.50	6.90543e-05
80.50	4.73594e-05
81.50	3.20687e-05
82.50	2.14381e-05
83.50	1.41480e-05
84.50	9.21682e-06
85.50	5.92683e-06
86.50	3.76181e-06
87.50	2.35659e-06
88.50	1.45701e-06
89.50	8.89033e-07
90.50	5.35341e-07
91.50	3.18116e-07
92.50	1.86538e-07
93.50	1.07935e-07
94.50	6.16253e-08
95.50	3.47172e-08
96.50	1.92978e-08
97.50	1.05837e-08
98.50	5.72692e-09
99.50	3.05741e-09
100.50	1.61037e-09
101.50	8.36811e-10
102.50	4.28995e-10
103.50	2.16966e-10
104.50	1.08253e-10
105.50	5.32830e-11
106.50	2.58722e-11
107.50	1.23928e-11
108.50	5.85583e-12
109.50	2.72953e-12
110.50	1.25505e-12
111.50	5.69255e-13
112.50	2.54695e-13
113.50	1.12398e-13
114.50	4.89360e-14
115.50	2.10093e-14
116.50	8.90176e-15
117.50	3.71926e-15
118.50	1.53459e-15
119.50	6.20809e-16
120.50	2.49904e-16
121.50	1.02643e-16
122.50	3.79459e-17
123.50	1.47513e-17
124.50	4.48968e-18
125.50	0.00000e+00
126.50	0.00000e+00
127.50	0.00000e+00
128.50	0.00000e+00
129.50	0.00000e+00
130.50	0.00000e+00
131.50	0.00000e+00
132.50	0.00000e+00
133.50	0.00000e+00
134.50	0.00000e+00
135.50	0.00000e+00
136.50	0.00000e+00
137.50	0.00000e+00
138.50	0.00000e+00
139.50	0.00000e+00
140.50	0.00000e+00
141.50	0.00000e+00
142.50	0.00000e+00
143.50	0.00000e+00
144.50	0.00000e+00
145.50	0.00000e+00
146.50	0.00000e+00
147.50	0.00000e+00
148.50	0.00000e+00
149.50	0.00000e+00
150.50	0.00000e+00
151.50	0.00000e+00
152.50	0.00000e+00
153.50	0.00000e+00
154.50	0.00000e+00
155.50	0.00000e+00
156.50	0.00000e+00
157.50	0.00000e+00
158.50	0.00000e+00
159.50	0.00000e+00
160.50	0.00000e+00
161.50	0.00000e+00
162.50	0.00000e+00
163.50	0.00000e+00
164.50	0.00000e+00
165.50	0.00000e+00
166.50	0.00000e+00
167.50	0.00000e+00
168.50	0.00000e+00
169.50	0.00000e+00
170.50	0.00000e+00
171.50	0.00000e+00
172.50	0.00000e+00
173.50	0.00000e+00
174.50	0.00000e+00
175.50	0.00000e+00
176.50	0.00000e+00
177.50	0.00000e+00
178.50	0.00000e+00
179.50	0.00000e+00
180.50	0.00000e+00
181.50	0.00000e+00
182.50	0.00000e+00
183.50	0.00000e+00
184.50	0.00000e+00
185.50	0.00000e+00
186.50	0.00000e+00
187.50	0.00000e+00
188.50	0.00000e+00
189.50	0.00000e+00
190.50	0.00000e+00
191.50	0.00000e+00
192.50	0.00000e+00
193.50	0.00000e+00
194.50	0.00000e+00
195.50	0.00000e+00
196.50	0.00000e+00
197.50	0.00000e+00
198.50	0.00000e+00
199.50	0.00000e+00
