Rda	p(Rda)
0.50	5.34484e-03
1.50	5.05665e-03
2.50	4.65324e-03
3.50	4.16497e-03
4.50	3.62604e-03
5.50	3.07056e-03
6.50	2.52910e-03
7.50	2.02619e-03
8.50	1.57891e-03
9.50	1.19674e-03
10.50	8.82274e-04
11.50	6.32664e-04
12.50	4.41272e-04
13.50	2.99367e-04
14.50	1.97544e-04
15.50	1.26791e-04
16.50	7.91552e-05
17.50	4.80655e-05
18.50	2.83893e-05
19.50	1.63100e-05
20.50	9.11545e-06
21.50	4.95838e-06
22.50	2.63060e-06
23.50	1.37374e-06
24.50	7.33501e-07
25.50	4.56605e-07
26.50	4.25349e-07
27.50	6.24416e-07
28.50	1.13694e-06
29.50	2.17060e-06
30.50	4.11918e-06
31.50	7.67079e-06
32.50	1.39794e-05
33.50	2.49220e-05
34.50	4.34679e-05
35.50	7.41862e-05
36.50	1.23913e-04
37.50	2.02583e-04
38.50	3.24203e-04
39.50	5.07888e-04
40.50	7.78841e-04
41.50	1.16906e-03
42.50	1.71751e-03
43.50	2.46941e-03
44.50	3.47435e-03
45.50	4.78303e-03
46.50	6.44251e-03
47.50	8.49022e-03
48.50	1.09473e-02
49.50	1.38123e-02
50.50	1.70555e-02
51.50	2.06169e-02
52.50	2.44056e-02
53.50	2.83048e-02
54.50	3.21784e-02
55.50	3.58813e-02
56.50	3.92699e-02
57.50	4.22124e-02
58.50	4.45970e-02
59.50	4.63372e-02
60.50	4.73740e-02
61.50	4.76762e-02
62.50	4.72390e-02
63.50	4.60822e-02
64.50	4.42489e-02
65.50	4.18048e-02
66.50	3.88371e-02
67.50	3.54527e-02
68.50	3.17747e-02
69.50	2.79363e-02
70.50	2.40735e-02
71.50	2.03154e-02
72.50	1.67761e-02
73.50	1.35463e-02
74.50	1.06888e-02
75.50	8.23707e-03
76.50	6.19626e-03
77.50	4.54792e-03
78.50	3.25581e-03
79.50	2.27266e-03
80.50	1.54639e-03
81.50	1.02545e-03
82.50	6.62590e-04
83.50	4.17094e-04
84.50	2.55757e-04
85.50	1.52748e-04
86.50	8.88465e-05
87.50	5.03253e-05
88.50	2.77578e-05
89.50	1.49079e-05
90.50	7.79575e-06
91.50	3.96913e-06
92.50	1.96751e-06
93.50	9.49528e-07
94.50	4.46132e-07
95.50	2.04067e-07
96.50	9.08729e-08
97.50	3.93949e-08
98.50	1.66260e-08
99.50	6.83081e-09
100.50	2.73208e-09
101.50	1.06377e-09
102.50	4.03215e-10
103.50	1.48784e-10
104.50	5.34448e-11
105.50	1.86889e-11
106.50	6.36198e-12
107.50	2.10829e-12
108.50	6.80120e-13
109.50	2.13614e-13
110.50	6.52830e-14
111.50	1.94274e-14
112.50	5.63877e-15
113.50	1.58807e-15
114.50	4.39124e-16
115.50	1.21617e-16
116.50	2.86367e-17
117.50	3.72249e-18
118.50	9.76548e-19
119.50	2.45340e-24
120.50	0.00000e+00
121.50	0.00000e+00
122.50	0.00000e+00
123.50	0.00000e+00
124.50	0.00000e+00
125.50	0.00000e+00
126.50	0.00000e+00
127.50	0.00000e+00
128.50	0.00000e+00
129.50	0.00000e+00
130.50	0.00000e+00
131.50	0.00000e+00
132.50	0.00000e+00
133.50	0.00000e+00
134.50	0.00000e+00
135.50	0.00000e+00
136.50	0.00000e+00
137.50	0.00000e+00
138.50	0.00000e+00
139.50	0.00000e+00
140.50	0.00000e+00
141.50	0.00000e+00
142.50	0.00000e+00
143.50	0.00000e+00
144.50	0.00000e+00
145.50	0.00000e+00
146.50	0.00000e+00
147.50	0.00000e+00
148.50	0.00000e+00
149.50	0.00000e+00
150.50	0.00000e+00
151.50	0.00000e+00
152.50	0.00000e+00
153.50	0.00000e+00
154.50	0.00000e+00
155.50	0.00000e+00
156.50	0.00000e+00
157.50	0.00000e+00
158.50	0.00000e+00
159.50	0.00000e+00
160.50	0.00000e+00
161.50	0.00000e+00
162.50	0.00000e+00
163.50	0.00000e+00
164.50	0.00000e+00
165.50	0.00000e+00
166.50	0.00000e+00
167.50	0.00000e+00
168.50	0.00000e+00
169.50	0.00000e+00
170.50	0.00000e+00
171.50	0.00000e+00
172.50	0.00000e+00
173.50	0.00000e+00
174.50	0.00000e+00
175.50	0.00000e+00
176.50	0.00000e+00
177.50	0.00000e+00
178.50	0.00000e+00
179.50	0.00000e+00
180.50	0.00000e+00
181.50	0.00000e+00
182.50	0.00000e+00
183.50	0.00000e+00
184.50	0.00000e+00
185.50	0.00000e+00
186.50	0.00000e+00
187.50	0.00000e+00
188.50	0.00000e+00
189.50	0.00000e+00
190.50	0.00000e+00
191.50	0.00000e+00
192.50	0.00000e+00
193.50	0.00000e+00
194.50	0.00000e+00
195.50	0.00000e+00
196.50	0.00000e+00
197.50	0.00000e+00
198.50	0.00000e+00
199.50	0.00000e+00
