Rda_left	Rda_right	prda	prda_error
0	20	0.077711824	0.01384349
20	30	0.101878977	0.007644288
30	32	0.029193751	0.00271957
32	34	0.03277204	0.00322453
34	36	0.036577158	0.003757222
36	38	0.040546412	0.004311029
38	40	0.044584624	0.004890697
40	42	0.048556978	0.005511884
42	44	0.052282575	0.006193453
44	46	0.055530293	0.006939366
46	48	0.058019465	0.007712146
48	50	0.059428911	0.008406096
50	52	0.059418892	0.008830773
52	54	0.057671021	0.008716482
54	56	0.053950105	0.007769389
56	58	0.048187696	0.005894971
58	60	0.040577586	0.004284864
60	62	0.031656798	0.006371688
62	64	0.022323209	0.010031334
64	66	0.013723549	0.011330125
66	68	0.006961359	0.009220796
68	70	0.00266791	0.006055655
70	72	0.000664863	0.003469501
72	74	8.17167E-05	0.00182043
74	76	2.7938E-06	0.000908865
76	78	5.71657E-09	0.000424349
78	80	0	0.000176185
80	100	0	8.66876E-05
100	200	0	0
