Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.13537	0.00668
30.00000	30.53873	0.00040	0.00030
30.53873	31.07746	0.00040	0.00030
31.07746	31.61619	0.00042	0.00030
31.61619	32.15491	0.00045	0.00032
32.15491	32.69364	0.00048	0.00033
32.69364	33.23237	0.00052	0.00034
33.23237	33.77110	0.00056	0.00036
33.77110	34.30983	0.00062	0.00037
34.30983	34.84856	0.00068	0.00039
34.84856	35.38728	0.00074	0.00039
35.38728	35.92601	0.00084	0.00040
35.92601	36.46474	0.00092	0.00040
36.46474	37.00347	0.00101	0.00042
37.00347	37.54220	0.00110	0.00041
37.54220	38.08093	0.00119	0.00042
38.08093	38.61965	0.00131	0.00041
38.61965	39.15838	0.00142	0.00041
39.15838	39.69711	0.00154	0.00041
39.69711	40.23584	0.00167	0.00040
40.23584	40.77457	0.00181	0.00040
40.77457	41.31330	0.00196	0.00041
41.31330	41.85202	0.00211	0.00043
41.85202	42.39075	0.00230	0.00043
42.39075	42.92948	0.00250	0.00045
42.92948	43.46821	0.00270	0.00047
43.46821	44.00694	0.00290	0.00052
44.00694	44.54567	0.00312	0.00054
44.54567	45.08439	0.00333	0.00057
45.08439	45.62312	0.00356	0.00061
45.62312	46.16185	0.00379	0.00063
46.16185	46.70058	0.00402	0.00066
46.70058	47.23931	0.00425	0.00067
47.23931	47.77804	0.00448	0.00067
47.77804	48.31676	0.00469	0.00069
48.31676	48.85549	0.00489	0.00068
48.85549	49.39422	0.00506	0.00068
49.39422	49.93295	0.00522	0.00067
49.93295	50.47168	0.00536	0.00067
50.47168	51.01041	0.00549	0.00067
51.01041	51.54913	0.00557	0.00068
51.54913	52.08786	0.00564	0.00069
52.08786	52.62659	0.00568	0.00072
52.62659	53.16532	0.00571	0.00076
53.16532	53.70405	0.00570	0.00079
53.70405	54.24278	0.00567	0.00085
54.24278	54.78150	0.00564	0.00090
54.78150	55.32023	0.00556	0.00095
55.32023	55.85896	0.00549	0.00100
55.85896	56.39769	0.00543	0.00104
56.39769	56.93642	0.00534	0.00106
56.93642	57.47515	0.00527	0.00109
57.47515	58.01387	0.00518	0.00111
58.01387	58.55260	0.00509	0.00112
58.55260	59.09133	0.00500	0.00111
59.09133	59.63006	0.00493	0.00109
59.63006	60.16879	0.00487	0.00108
60.16879	60.70752	0.00481	0.00105
60.70752	61.24624	0.00475	0.00103
61.24624	61.78497	0.00471	0.00100
61.78497	62.32370	0.00468	0.00096
62.32370	62.86243	0.00467	0.00092
62.86243	63.40116	0.00467	0.00090
63.40116	63.93989	0.00467	0.00087
63.93989	64.47861	0.00470	0.00084
64.47861	65.01734	0.00473	0.00082
65.01734	65.55607	0.00476	0.00081
65.55607	66.09480	0.00481	0.00081
66.09480	66.63353	0.00488	0.00081
66.63353	67.17226	0.00494	0.00082
67.17226	67.71098	0.00500	0.00082
67.71098	68.24971	0.00509	0.00085
68.24971	68.78844	0.00517	0.00089
68.78844	69.32717	0.00526	0.00092
69.32717	69.86590	0.00536	0.00096
69.86590	70.40463	0.00545	0.00100
70.40463	70.94335	0.00554	0.00105
70.94335	71.48208	0.00562	0.00109
71.48208	72.02081	0.00571	0.00113
72.02081	72.55954	0.00579	0.00118
72.55954	73.09827	0.00588	0.00124
73.09827	73.63700	0.00595	0.00127
73.63700	74.17572	0.00600	0.00131
74.17572	74.71445	0.00608	0.00135
74.71445	75.25318	0.00614	0.00138
75.25318	75.79191	0.00618	0.00141
75.79191	76.33064	0.00622	0.00144
76.33064	76.86937	0.00626	0.00145
76.86937	77.40809	0.00628	0.00147
77.40809	77.94682	0.00630	0.00148
77.94682	78.48555	0.00632	0.00149
78.48555	79.02428	0.00634	0.00149
79.02428	79.56301	0.00634	0.00149
79.56301	137.91445	0.49195	0.01198
