# step	G	chi2r	S	Energy_w.sum
0	1.102662e+01	1.102662e+01	0.000000e+00	1.661521e-14
4	8.854447e+00	7.550363e+00	-1.077081e-01	1.337474e+00
8	5.309608e+00	5.131479e+00	3.545019e-01	6.823315e-02
12	3.647938e+00	3.202691e+00	9.607614e-01	1.474109e-01
16	2.484535e+00	1.666549e+00	1.601057e+00	3.216578e-01
20	2.319158e+00	1.632377e+00	1.942246e+00	8.468550e-02
24	2.186556e+00	1.408474e+00	2.297722e+00	6.578744e-02
28	2.101932e+00	1.251385e+00	2.508813e+00	7.281451e-02
32	2.060339e+00	1.130901e+00	2.757284e+00	7.467983e-02
36	2.047414e+00	1.060418e+00	2.891247e+00	9.070940e-02
40	2.044707e+00	1.050194e+00	2.937515e+00	8.388333e-02
44	2.040189e+00	1.037204e+00	2.984628e+00	7.775081e-02
48	2.039205e+00	1.037796e+00	2.975437e+00	7.902356e-02
52	2.038935e+00	1.036335e+00	2.978218e+00	7.935165e-02
56	2.038759e+00	1.033583e+00	2.985649e+00	7.962464e-02
60	2.038638e+00	1.036856e+00	2.975301e+00	7.943856e-02
64	2.038624e+00	1.035893e+00	2.979507e+00	7.908414e-02
68	2.038595e+00	1.035451e+00	2.980675e+00	7.913510e-02
72	2.038586e+00	1.036471e+00	2.977086e+00	7.921811e-02
76	2.038584e+00	1.036521e+00	2.976858e+00	7.923785e-02
80	2.038583e+00	1.036079e+00	2.978245e+00	7.924766e-02
84	2.038582e+00	1.036164e+00	2.978135e+00	7.919669e-02
88	2.038582e+00	1.036097e+00	2.978297e+00	7.921336e-02
92	2.038582e+00	1.036121e+00	2.978287e+00	7.919199e-02
96	2.038582e+00	1.036113e+00	2.978312e+00	7.919260e-02
100	2.038582e+00	1.036110e+00	2.978311e+00	7.919599e-02
104	9.700756e+00	8.224505e+00	4.427673e-01	1.338993e+00
108	8.112983e+00	7.501382e+00	5.487826e-01	4.414785e-01
112	4.798001e+00	4.309520e+00	1.549704e+00	8.072945e-03
116	2.976637e+00	2.245799e+00	2.091600e+00	8.244252e-02
120	2.539492e+00	1.745090e+00	2.314923e+00	7.677669e-02
124	2.252876e+00	1.311955e+00	2.679321e+00	1.103312e-01
128	2.163619e+00	1.196680e+00	2.878690e+00	7.454465e-02
132	2.131696e+00	1.154670e+00	2.936395e+00	6.674345e-02
136	2.090701e+00	1.078635e+00	3.008737e+00	7.935795e-02
140	2.065912e+00	1.036832e+00	3.049541e+00	8.372234e-02
144	2.060024e+00	1.032599e+00	3.050080e+00	8.189977e-02
148	2.051608e+00	1.030901e+00	3.028842e+00	8.176669e-02
152	2.047359e+00	1.047914e+00	2.979009e+00	7.595199e-02
156	2.042945e+00	1.034682e+00	3.000365e+00	7.814956e-02
160	2.041352e+00	1.027411e+00	3.022444e+00	7.698425e-02
164	2.039502e+00	1.029933e+00	2.992846e+00	8.178598e-02
168	2.038895e+00	1.037638e+00	2.973684e+00	7.941479e-02
172	2.038723e+00	1.035739e+00	2.981601e+00	7.868759e-02
176	2.038679e+00	1.036017e+00	2.980752e+00	7.862929e-02
180	2.038609e+00	1.036537e+00	2.977376e+00	7.908536e-02
184	2.038597e+00	1.035810e+00	2.978743e+00	7.937657e-02
188	2.038588e+00	1.035952e+00	2.978437e+00	7.932058e-02
192	2.038586e+00	1.036328e+00	2.978279e+00	7.899116e-02
196	2.038584e+00	1.036276e+00	2.977744e+00	7.920753e-02
200	2.038583e+00	1.036282e+00	2.977506e+00	7.927378e-02
204	2.038582e+00	1.036249e+00	2.977972e+00	7.916171e-02
208	2.038582e+00	1.036089e+00	2.978351e+00	7.920404e-02
212	2.038582e+00	1.036080e+00	2.978428e+00	7.918924e-02
216	1.402151e+01	1.350262e+01	7.314401e-01	2.921415e-01
220	9.611804e+00	8.360230e+00	4.739126e-01	1.104662e+00
224	7.535909e+00	7.180866e+00	6.726227e-01	1.465303e-01
228	3.684884e+00	2.726049e+00	1.416426e+00	5.197433e-01
232	2.994870e+00	2.214886e+00	2.453097e+00	1.952401e-02
236	2.531233e+00	1.704214e+00	2.588766e+00	2.450139e-02
240	2.308477e+00	1.422433e+00	2.643312e+00	6.661728e-02
244	2.200170e+00	1.288356e+00	2.814323e+00	3.937425e-02
248	2.124673e+00	1.139348e+00	2.980425e+00	6.139323e-02
252	2.088034e+00	1.104888e+00	2.992335e+00	5.552148e-02
256	2.058464e+00	1.045972e+00	2.978104e+00	8.928000e-02
260	2.050357e+00	1.049038e+00	2.982285e+00	7.681104e-02
264	2.046184e+00	1.041920e+00	2.991732e+00	7.682743e-02
268	2.041732e+00	1.023082e+00	3.030406e+00	7.922383e-02
272	2.039223e+00	1.029580e+00	3.001569e+00	7.915566e-02
276	2.038920e+00	1.034270e+00	2.994218e+00	7.644273e-02
280	2.038776e+00	1.033018e+00	2.985201e+00	8.034570e-02
284	2.038646e+00	1.037385e+00	2.976113e+00	7.866599e-02
288	2.038601e+00	1.037069e+00	2.975250e+00	7.920479e-02
292	2.038588e+00	1.036340e+00	2.976938e+00	7.939676e-02
296	2.038585e+00	1.035527e+00	2.979566e+00	7.939284e-02
300	2.038584e+00	1.035945e+00	2.979294e+00	7.905774e-02
