Rda_left	Rda_right	prda	prda_error
0.00000	30.00000	0.24957	0.07699
30.00000	31.88555	0.02588	0.00379
31.88555	33.77110	0.02879	0.00405
33.77110	35.65665	0.03188	0.00435
35.65665	37.54220	0.03488	0.00447
37.54220	39.42775	0.03762	0.00415
39.42775	41.31330	0.04032	0.00349
41.31330	43.19884	0.04302	0.00320
43.19884	45.08439	0.04557	0.00351
45.08439	46.96994	0.04739	0.00366
46.96994	48.85549	0.04805	0.00392
48.85549	50.74104	0.04681	0.00579
50.74104	52.62659	0.04455	0.00848
52.62659	54.51214	0.04156	0.01008
54.51214	56.39769	0.03805	0.00971
56.39769	58.28324	0.03463	0.00759
58.28324	60.16879	0.03173	0.00563
60.16879	62.05434	0.02934	0.00605
62.05434	63.93989	0.02589	0.00720
63.93989	65.82543	0.02164	0.00732
65.82543	67.71098	0.01707	0.00635
67.71098	69.59653	0.01273	0.00495
69.59653	71.48208	0.00899	0.00394
71.48208	73.36763	0.00617	0.00351
73.36763	75.25318	0.00433	0.00324
75.25318	77.13873	0.00319	0.00288
77.13873	79.02428	0.00255	0.00240
79.02428	137.91445	0.02149	0.01667
